Wall time,Step,Value
1608060342.0332296,0,3.271761894226074
1608060351.5687957,500,2.5362484455108643
1608060363.4541218,1000,3.4930174350738525
1608060377.5977936,1500,3.4989612102508545
1608060391.644524,2000,2.9975669384002686
1608060403.811736,2500,3.53220534324646
1608060415.7251892,3000,4.087664604187012
1608060427.3500233,3500,3.098524332046509
1608060438.9987736,4000,3.1233677864074707
1608060450.7742646,4500,2.2131571769714355
1608060460.97847,5000,2.2097420692443848
1608060469.1011617,5500,2.810584306716919
1608060477.232788,6000,3.150514602661133
1608060485.6457345,6500,2.701083183288574
1608060495.347548,7000,2.56546950340271
1608060505.8804889,7500,2.804793119430542
1608060516.5584598,8000,3.0042195320129395
1608060527.0687242,8500,2.9674201011657715
1608060537.4777167,9000,4.458488941192627
1608060548.05868,9500,4.628523349761963
1608060558.150126,10000,2.98773193359375
1608060568.4480543,10500,2.564317226409912
1608060578.655635,11000,2.85018253326416
1608060588.7935414,11500,2.3533294200897217
1608060598.7126622,12000,3.152237892150879
1608060608.7595901,12500,3.0993077754974365
1608060618.9471753,13000,3.1255197525024414
1608060629.1658103,13500,3.693661689758301
1608060639.1750271,14000,2.4345204830169678
1608060649.2371347,14500,2.4512412548065186
1608060659.5690677,15000,3.2573273181915283
1608060669.8474658,15500,2.7631161212921143
1608060679.8614857,16000,2.562321186065674
1608060690.217857,16500,2.6613516807556152
1608060700.424255,17000,2.8688080310821533
1608060710.7318454,17500,3.3406789302825928
1608060720.7226193,18000,3.144029140472412
1608060731.191958,18500,4.02302360534668
1608060741.5340514,19000,3.311967134475708
1608060751.900655,19500,3.1312005519866943
1608060761.9078076,20000,3.483299970626831
1608060772.1603992,20500,2.911017656326294
1608060782.3340783,21000,2.6504006385803223
1608060792.8486717,21500,3.8763773441314697
1608060803.436986,22000,4.738711833953857
1608060813.6451972,22500,2.3906848430633545
1608060823.934419,23000,4.255746364593506
1608060834.5055783,23500,5.075915336608887
1608060845.0815372,24000,4.462390422821045
1608060855.547637,24500,3.883391857147217
1608060865.8450546,25000,3.5266213417053223
1608060875.8300593,25500,3.1944384574890137
1608060886.1507864,26000,2.957969903945923
1608060896.3434284,26500,3.142561674118042
1608060906.9574971,27000,3.5950331687927246
1608060917.0564451,27500,3.717991828918457
1608060927.2020116,28000,3.27028751373291
1608060937.2811167,28500,3.4278690814971924
1608060947.4024758,29000,3.5297746658325195
1608060957.8247933,29500,3.426804542541504
1608060968.0612104,30000,3.3393008708953857
1608060978.4320667,30500,3.08935809135437
1608060988.9529119,31000,4.462073802947998
1608060999.5906913,31500,4.710402965545654
1608061009.96771,32000,4.9305949211120605
1608061020.8586524,32500,3.991459608078003
1608061032.1156785,33000,6.418665409088135
1608061042.685392,33500,5.260141372680664
1608061053.0537043,34000,2.9262988567352295
1608061063.4432547,34500,3.7109215259552
1608061074.1079028,35000,4.638640403747559
1608061084.7095027,35500,3.618215322494507
1608061095.0270076,36000,4.67323637008667
1608061105.3446527,36500,4.713149547576904
1608061115.7000792,37000,4.0163798332214355
1608061126.076519,37500,5.052292346954346
1608061136.3271306,38000,4.120809555053711
1608061147.2194202,38500,5.513347625732422
1608061157.9774566,39000,4.852631568908691
1608061168.5987527,39500,5.621646404266357
1608061178.9761372,40000,4.41157341003418
1608061189.395233,40500,4.973372936248779
1608061199.7488675,41000,5.026478290557861
1608061210.1689122,41500,3.949641466140747
1608061220.553447,42000,5.101232051849365
1608061231.1591458,42500,4.7850236892700195
1608061241.5205197,43000,4.903045177459717
1608061252.2966983,43500,5.214920997619629
1608061262.66024,44000,4.585876941680908
1608061273.4847019,44500,5.501942157745361
1608061283.86148,45000,3.757628917694092
1608061295.4521732,45500,7.371899604797363
1608061305.975378,46000,5.206727027893066
1608061316.9829865,46500,7.330167293548584
1608061327.3047216,47000,4.231272220611572
1608061337.7405431,47500,4.338061332702637
1608061348.5414789,48000,4.642543315887451
1608061359.0486412,48500,4.5467939376831055
1608061370.3729384,49000,6.112674713134766
1608061380.6369958,49500,3.9474174976348877
1608061391.3556616,50000,5.445632457733154
1608061402.1134696,50500,6.582355976104736
1608061412.709375,51000,5.31912088394165
1608061423.1658833,51500,6.035763740539551
1608061433.6386924,52000,5.292049407958984
1608061444.3933878,52500,4.276757717132568
1608061454.9794874,53000,6.7463297843933105
1608061466.4533482,53500,9.613175392150879
1608061477.2897012,54000,6.584098815917969
1608061488.1277711,54500,7.346878528594971
1608061498.4948037,55000,5.623513698577881
1608061509.6731389,55500,6.777031898498535
1608061520.2135036,56000,5.103770732879639
1608061530.6968856,56500,5.926412105560303
1608061542.466695,57000,8.818142890930176
1608061552.8579032,57500,5.029679298400879
1608061563.1952136,58000,4.866343021392822
1608061573.5965178,58500,5.600180149078369
1608061583.9089956,59000,4.613609313964844
1608061594.28369,59500,4.527041912078857
1608061604.690484,60000,5.873283863067627
1608061615.2032652,60500,5.661848068237305
1608061626.0238276,61000,5.017225742340088
1608061637.6421266,61500,5.495706081390381
1608061648.2641773,62000,5.407812118530273
1608061659.0630257,62500,6.767358303070068
1608061669.4981692,63000,5.6409125328063965
1608061679.9854517,63500,5.791638374328613
1608061690.7652617,64000,6.025084972381592
1608061701.651832,64500,6.449117183685303
1608061712.9755564,65000,7.628593444824219
1608061723.9255414,65500,6.530848503112793
1608061734.7991848,66000,5.017230033874512
1608061745.481134,66500,6.473060607910156
1608061756.3396409,67000,5.614015102386475
1608061767.6068904,67500,7.438228130340576
1608061778.719842,68000,6.3493428230285645
1608061789.7123039,68500,6.402426719665527
1608061801.7129056,69000,11.007052421569824
1608061812.7432358,69500,6.763089656829834
1608061824.3095822,70000,10.037447929382324
1608061836.0007205,70500,9.518828392028809
1608061847.154045,71000,8.329747200012207
1608061858.674251,71500,9.830349922180176
1608061869.7756615,72000,8.233210563659668
1608061880.6355479,72500,5.811608791351318
1608061891.2491758,73000,6.360107421875
1608061901.9321883,73500,5.4482645988464355
1608061912.5108001,74000,4.420578479766846
1608061923.351358,74500,7.533875465393066
1608061933.8549888,75000,6.255557060241699
1608061944.9211454,75500,6.261640548706055
1608061955.4745224,76000,4.982903957366943
1608061966.712443,76500,6.584880352020264
1608061976.8265808,77000,3.989027261734009
1608061987.8448775,77500,4.833764553070068
1608061998.7065349,78000,6.655456066131592
1608062008.8923132,78500,3.8131604194641113
1608062019.845314,79000,7.955955982208252
1608062030.2851052,79500,4.1117987632751465
1608062041.479382,80000,7.7808074951171875
1608062052.29444,80500,4.3915839195251465
1608062062.4030783,81000,4.418855667114258
1608062072.6731367,81500,3.855940341949463
1608062083.2167737,82000,5.51661491394043
1608062094.6823285,82500,8.831110954284668
1608062106.0971913,83000,7.140343189239502
1608062117.3507407,83500,7.6863532066345215
1608062128.1200445,84000,7.422205448150635
1608062139.2324295,84500,7.3319573402404785
1608062151.439282,85000,9.604825019836426
1608062162.7240472,85500,7.953573226928711
1608062173.7234986,86000,7.6589131355285645
1608062184.1670415,86500,4.408662796020508
1608062194.7799094,87000,6.05259895324707
1608062206.419965,87500,9.443341255187988
1608062217.9015002,88000,8.081023216247559
1608062230.5519388,88500,9.55537223815918
1608062242.2430685,89000,7.50602388381958
1608062253.356245,89500,7.758668422698975
1608062264.2711215,90000,7.3918585777282715
1608062274.9052114,90500,5.989594459533691
1608062285.114829,91000,4.693439483642578
1608062295.7431717,91500,6.366204261779785
1608062307.1832585,92000,8.28266429901123
1608062318.6289005,92500,10.043904304504395
1608062329.5692663,93000,9.08703327178955
1608062341.3561966,93500,10.152942657470703
1608062352.518963,94000,6.544039726257324
1608062363.5973372,94500,9.37801456451416
1608062374.5997074,95000,7.906322479248047
1608062387.5473142,95500,10.176546096801758
1608062398.3395698,96000,7.203903675079346
1608062409.2981238,96500,6.774572372436523
1608062419.9661276,97000,5.884409427642822
1608062431.0759902,97500,8.078819274902344
1608062442.0992222,98000,6.804331302642822
